,biz,grade,inspections_in_2012,inspections_in_2013,phone_num,violations_in_2012,violations_in_2013,violations_per_inspection
0,CAFE MINERVA,B,4,3,2122424800,14,5,1
1,CAFE 1853,A,2,1,7188627573,12,3,3
2,LA NUEVA GIRALDA BAKERY,C,1,6,7189912810,4,15,2
3,V'NOTE,B,3,4,2122495009,8,15,3
4,DUNKIN DONUTS & BASKIN ROBBINS,A,1,1,7183723824,3,3,3
5,SUBSCONSCIOUS,B,4,1,2128642720,11,2,2
6,MARINA GRAND CAFE,A,1,3,7186059200,2,8,2
7,PARAISO AZTECA RESTAURANT,C,5,4,7189989860,29,15,3
8,PERK KAFE,A,0,2,2126867375,0,4,2
9,TOMMYS FAMOUS CHEESESTEAKS & PIZZA,B,0,3,7187682222,0,10,3
10,MCDONALD'S,A,1,2,7189391881,3,4,2
11,BLACK CRESCENT,A,0,0,2124771771,0,0,0
12,JONG RO BBQ RESTAURANT/GOLDEN PIG,B,5,3,7187779292,13,7,2
13,ISADORA'S CAFE,B,1,1,2128885656,2,1,1
14,AMICI PIZZERIA,A,0,2,7183566060,0,4,2
15,VEGGIES NATURAL JUICE BAR,A,1,2,3476273247,1,6,3
16,TANXIA WANG FUZHOU CUISINE,P,4,4,2123430548,14,33,8
17,PAESANO'S,A,2,3,2129651198,13,10,3
18,EL TEXANO RESTAURANT,P,5,4,7188236457,28,14,3
19,SAN PIETRO,P,4,2,2127539015,10,6,3
20,GOLDEN FLOWER KITCHEN,A,2,1,7184092010,6,4,4
21,MALAGA RESTAURANT,P,6,2,2127377659,29,5,2
22,AWAKENING NEW YORK,A,2,0,7183491380,5,0,0
23,D'VIDA HEALTH BAR,B,1,4,2129691893,2,12,3
24,BOULEVARD PIZZERIA,A,3,1,7186723300,5,2,2
25,BAR GREAT HARRY,B,4,4,7182221103,15,11,2
26,CARUSO PIZZERIA & RESTAURANT,P,3,5,7187972300,6,12,2
27,ESTRELLA DEL MAR RESTAURANT,C,4,1,7184567496,13,2,2
28,BURGER KING,B,1,1,7188247846,2,2,2
29,THE MONKEY ROOM,C,1,4,2125439888,2,13,3
30,PANDA GARDEN,B,2,1,7186998781,8,2,2
31,ENVY,C,1,1,2127550222,2,2,2
32,GOOD FRIEND,C,0,4,7184558828,0,12,3
33,CLOCK WORK,C,1,2,2126774545,5,5,2
34,MIKE'S OAKWOOD DINER,C,3,1,7186681570,9,2,2
35,Hu Kitchen,A,1,2,2125108919,2,4,2
38,BLIMPIE,A,1,1,2124067489,1,3,3
39,HOUSE OF CHENG KITCHEN,A,0,2,7185888575,0,3,1
40,ZEN PALATE,C,4,2,2126856888,19,9,4
42,PANERA BREAD,B,4,3,2018184669,13,6,2
43,THAI FRESH,B,0,2,7188158880,0,10,5
44,MARILU & DEYSI RESTAURANT,C,2,2,2127956909,8,6,3
46,KIRAKUYA SAKE BAR,C,0,3,2126957272,0,9,3
47,BOSTON PIZZA,B,5,4,7185456001,17,13,3
48,TOUS LES JOURS,B,1,3,7187626557,1,9,3
50,CELESTIANO,C,4,4,3477873564,18,15,3
51,MD BAGELS DELI & GROCEERY,B,1,4,7188764960,3,12,3
52,REED SMITH,A,1,1,2125494222,1,2,2
53,SUBWAY,A,1,0,6465599081,2,0,0
54,NEW FLUSHING NOODLE RESTAURANT,C,4,7,7183531166,18,40,5
55,THE GATE,B,3,3,7187684329,7,11,3
56,SILVER KRUST WEST INDIAN RESTAURANT,P,4,5,7184853608,16,19,3
57,KENNEDY CHICKEN & PIZZA,A,2,2,7184508486,3,4,2
58,ETHEL BARRYMORE THEATER,A,1,1,2125867610,2,2,2
59,DYCKMAN BAR,B,2,6,6463603018,6,18,3
60,JAKE'S,P,3,3,7185223981,9,8,2
61,A.K.A. RESTAURANT,A,2,1,3472278274,4,2,2
62,PARIGOT,C,0,4,2122748859,0,14,3
63,SAHARA RESTAURANT,P,6,3,7183768594,22,8,2
64,KAWA SUSHI 8 AVENUE,B,1,2,2123666888,2,3,1
65,PALACE RESTAURANT,A,0,0,3473991571,0,0,0
66,MCDONALD'S,A,3,2,7185224988,4,3,1
67,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,A,1,1,7182757755,2,3,3
68,UNO CHICAGO GRILL,A,1,1,7187068800,4,3,3
69,BOXERS NYC,C,5,1,2122555082,11,2,2
70,ATOMIC WINGS,C,5,2,2128885777,21,10,5
71,EL COYOTE RESTAURANT,B,2,4,7186514874,4,18,4
72,THE HALF PINT,C,1,2,2122601088,3,10,5
74,LONG XIN CHINESE KITCHEN,B,0,4,7188422568,0,8,2
75,ROYAL PIZZERIA,C,4,1,7183328569,18,4,4
76,83 KIEN TUONG RESTAURANT,C,5,1,2129662878,17,2,2
77,SUBWAY,A,3,1,7188919188,7,3,3
78,BLIMPIE,B,4,4,2126824141,14,7,1
79,HAVELI,P,6,4,7182618880,17,18,4
80,BLUE RIBBON RESTAURANT,C,2,4,2122740404,5,12,3
81,PEKING EXPRESS,C,4,4,7185293248,12,7,1
82,CRAVE ESPRESSO BAR,A,0,0,2127758090,0,0,0
84,BLUE RIBBON FRIED CHICKEN,A,0,2,2122280404,0,3,1
85,ONE DELI RESTAURANT,B,3,2,7187881846,9,6,3
87,THE WING BAR,B,1,1,7182372728,2,3,3
88,ONOMEA,A,0,0,3478449559,0,0,0
89,SAYRAS WINE BAR,A,0,1,7188640909,0,3,3
90,ST. DYMPHNA'S,B,4,3,2122546636,7,9,3
91,SIGNATURE CAFE AND BAR,A,3,2,2127272424,5,3,1
92,85 CHINESE RESTAURANT,C,2,4,2126800118,8,18,4
93,STELLA'S PIZZA,C,1,4,2124624444,2,9,2
94,BUBBLE CREPE,C,0,5,7187932006,0,17,3
95,PEKING DUCK HOUSE,B,4,1,2127598260,14,2,2
97,"FLOYD, NY",B,3,1,7188585810,7,2,2
98,21 CLUB,A,1,2,2125827200,3,7,3
99,PANDA RESTAURANT,B,4,1,2127528822,25,2,2
100,LA SALLE BAKERY,C,4,5,7188234218,13,25,5
101,TAURO RESTAURANT,B,5,3,2122068530,19,5,1
102,MEHTAPHOR,A,0,1,2125429440,0,3,3
103,STAND 318,A,1,1,9172843260,1,3,3
104,TRINI DELITE ROTI SHOP,A,0,1,7183224111,0,1,1
105,EL CENIZON BAR RESTAURANT,A,0,2,3478109797,0,8,4
106,NESPRESSO,A,1,2,2126282359,1,7,3
107,THE HALCYON GOURMET LLC,A,1,2,7183492882,3,8,4
108,PARADISE CATERERS,P,2,2,7183724352,5,5,2
109,CAFE BORA BORA,B,3,2,7182754900,11,6,3
110,YOGURT CITY,A,0,2,7183573388,0,5,2
111,FORBIDDEN FRUIT NYC,A,2,2,2126711222,2,3,1
112,SHELLCOVE & CHINGER,P,2,4,7185026668,9,15,3
113,CAFE TODAY,B,0,4,2123083206,0,15,3
114,JENNIFER'S RESTAURANT,C,6,2,7185231551,13,3,1
115,JASSI'S FINE INDIAN CUISINE,A,1,3,7183478400,5,14,4
116,HILL CAFE,C,7,5,7182303471,22,17,3
117,FERRARA CENTRAL PARK WEST & COLOMBUS CIRCLE,A,2,1,2122266150,4,2,2
118,EL BARRIO JUICE BAR DELI,P,1,1,2128280403,2,3,3
119,DUNKIN DONUTS,B,2,2,7188280509,10,2,1
120,NEW STAR SEAFOOD RESTAURANT,P,5,4,7189980360,33,22,5
121,JALOPY,A,1,1,7183953214,3,2,2
122,GOLDEN KRUST CARRIBEAN BAKERY & GRILL,B,2,1,7186220555,4,2,2
123,MOB RESTAURANT,A,1,4,7187972555,1,13,3
124,PARAISO COLUMBIANO RESTAURANT,A,0,0,7186995054,0,0,0
126,CRIF DOGS,A,1,1,2126146891,1,1,1
128,DAIRY STOP,A,3,1,7185700983,10,2,2
129,MOUSTACHE RESTAURANT,A,1,2,2122292220,2,3,1
130,DUNKIN DONUTS & BASKIN ROBBINS,A,1,2,7183580902,3,6,3
131,PIZZALICIOUS,B,1,3,3476278399,2,7,2
133,XING DRAGON,P,6,2,2128603232,11,5,2
134,Tablao Restaurant,A,0,1,2123344043,0,3,3
135,1001 NIGHTS CAFE,B,2,3,7183708080,3,7,2
137,T-BROTHERS PIZZERIA,B,3,4,3472843915,9,11,2
138,ACAPULCO PLAZA,C,1,2,7184429702,4,12,6
139,WAKAMBA,B,3,1,2125642042,11,4,4
140,BP / TURKAM,C,2,3,7188031418,13,17,5
141,CASA PROMESA,A,1,2,7184663550,2,6,3
142,"NEW NORTHWEST AAA, INC GRILL",C,2,1,7182821860,7,1,1
143,BLUE WATER GRILL,B,1,1,2126759500,1,3,3
145,MEZCAL'S DOS RESTAURANT,C,3,1,7187487007,6,2,2
146,SHALOM JAPAN,A,0,2,7183884012,0,4,2
147,RIPOSO 46,A,1,3,2122478018,2,5,1
148,SARKU JAPAN TERIYAKI & SUSHI EXPRESS,A,3,4,7183590810,7,16,4
149,LOS GIRASOLES RESTAURANT,P,3,4,7185618089,9,17,4
150,CLYDE FRAZIER'S WINE AND DINE,A,2,1,2128421110,3,2,2
151,WEST 190 STREET PIZZA,A,4,1,2129234441,11,1,1
152,FB9120 HOT DOG CONCESSION,A,1,1,2124656000,1,1,1
153,CAPRI BAKERY,B,2,3,2124101876,8,5,1
154,SUBWAY,B,1,4,7183457015,1,9,2
156,FORTUNE GARDEN,A,0,0,7184362355,0,0,0
157,SOTTO 13,A,1,3,2126471001,5,6,2
158,FRESH TORTILLA EXPRESS,B,3,2,2122423520,11,5,2
159,NONNA'S PIZZERIA & RESTAURANT,B,3,4,7183217777,7,12,3
160,GEMINI DINER,C,4,4,2125322143,12,12,3
161,MILOSUN SUSHI,A,0,3,6465592930,0,8,2
162,GOLDEN CITY CHINESE KITCHEN,B,2,2,7188617899,6,8,4
163,DUNKIN' DONUTS,A,3,1,7184641097,7,1,1
164,NEW EAST OCEAN PALACE,P,4,2,7182681668,21,10,5
165,SAMUEL ADAMS,A,1,1,7183356473,3,3,3
166,THREE BROTHERS PIZZERIA & RESTAURANT,C,1,3,7186495022,4,12,4
168,GOLDEN PALACE GOURMET,P,3,5,7188864383,17,25,5
169,BEN-BEST DELI & RESTAURANT,B,2,4,7188971700,8,10,2
170,ST. ANDREWS RESTAURANT,C,4,1,2128408413,7,2,2
171,HAYATY,C,3,2,2123880588,14,9,4
172,KENNEDY FRIED CHICKEN,C,4,6,7183294137,15,15,2
173,ROSARITO FISH SHACK & SHELTER PIZZA,B,1,2,7183888833,2,4,2
174,MCDONALD'S,A,2,1,7183022450,2,1,1
175,GLORIA PIZZA,A,5,3,7182631100,11,9,3
176,1818 SEAFOOD RESTAURANT,C,3,4,7183326188,10,10,2
177,NEW FU FAN RESTAURANT,B,4,4,7184247300,12,10,2
178,KENNEDY FRIED CHICKEN,A,0,0,7186653831,0,0,0
179,224TH CORNER RESTAURANT & BAKERY,A,1,4,7186522878,1,7,1
180,STAND 114,A,1,1,7185958100,2,2,2
181,PRODIGY COFFEE,A,1,1,2124144142,4,3,3
182,CYPRUS AVENUE / BLACK SHEEP,B,3,4,7186381066,5,11,2
183,SUPER POLLO RESTAURANT,C,5,3,7184180808,11,10,3
184,SUBWAY,C,2,2,7189977786,8,7,3
185,MORGAN LIBRARY,A,1,1,2126850008,1,1,1
186,LOCK YARD,A,0,1,7183335282,0,1,1
187,CARVEL ICE CREAM,A,1,1,7183319383,3,1,1
188,RESTORAN SEHER OLD BRIDGE 3,A,0,2,7189327683,0,4,2
189,DESANTOS RESTAURANT,C,1,5,2122069229,2,19,3
190,DOMINO'S PIZZA,C,1,1,7186584200,1,4,4
192,CAVO,B,3,5,7187211001,5,9,1
193,SCOTTADITO,B,3,2,7186364800,11,6,3
194,FRANK'S TRATTORIA,B,1,1,2126777140,3,3,3
195,FUKUOKA SHABU SHABU,A,1,1,7186611616,3,2,2
196,ABBOCCATO RISTORANTE,B,3,2,2122654000,7,6,3
197,KAVE ESPRESSO BAR,A,1,3,7183608685,2,8,2
198,SKOVORODKA RESTAURANT,A,0,1,7186153096,0,3,3
199,PLAZA PIAXTLA BAKERY,B,5,2,7184174961,11,5,2
200,SAFE HORIZON,A,1,1,2126952220,1,2,2
201,POTAMKIN CAFE,A,1,1,7185144015,4,2,2
202,JOY CURRY & TANDOOR,A,2,1,6465597527,2,4,4
203,GRIMALDI PIZZERIA,P,2,5,6464845665,11,20,4
204,JEKYLL AND HYDE CLUB,A,0,3,2123982700,0,8,2
205,THE GATHER INN AGAIN,B,2,1,7185136245,8,2,2
206,SUBWAY,A,3,1,2125825800,6,3,3
207,GIANNIS' TAVERNA,A,0,3,7184091942,0,7,2
208,BARD BASEMENT FACULTY KITCHEN,C,5,1,6464262582,15,2,2
209,LOUIS 649,B,2,3,2126731190,5,6,2
210,EVODIO'S PLACE,B,1,2,7188572368,4,7,3
211,DAVINCI CONES,A,1,1,3474624415,2,2,2
212,GRAND RESTAURANT,P,6,4,7183218258,21,12,3
213,BROOKLYN DINER,A,1,1,2129772280,2,1,1
214,FUSHIMI,B,4,4,7189632555,15,15,3
215,JUST COMBO,P,5,6,7186066066,20,17,2
216,CAFE ANGELIQUE,P,3,4,2124753500,8,12,3
217,Rolly Kimbab,P,1,4,7186611544,3,11,2
218,GEORGIO'S PIZZERIA,P,6,5,2123616160,16,16,3
219,SIPS & BITES,A,1,1,3478895333,2,1,1
220,BCA RESTAURANT,A,0,1,7183596888,0,2,2
221,BUENA NUTRICION,A,1,1,6463541997,1,1,1
222,ZEST,C,6,3,7183908477,14,10,3
223,THE STELLAN,A,2,5,2125949343,4,10,2
224,LUEN HOP CHINESE KITCHEN,C,3,1,7185255366,8,3,3
225,RICHOL CAFE & BAKERY,C,3,4,3475339517,9,9,2
226,CUPIDO'S RESTAURANT,C,3,4,3474999340,11,19,4
227,JOHN'S RESTAURANT,C,4,4,9175094668,17,14,3
228,ELLARY'S GREENS,A,0,1,2129205072,0,2,2
229,OAXACA DELI AND TAQUERIA,C,1,3,7185569416,3,18,6
231,OLIVE VINE CAFE,B,4,3,7186222626,12,6,2
232,CAFE Y ALGO MAS,P,4,2,7182050450,14,5,2
233,CIRCLE LINE QUEENS,A,1,1,2126308889,2,3,3
234,BURGER KING,A,2,1,2124269532,5,2,2
235,RACCOON LODGE,B,9,4,2122279894,16,6,1
236,INES' BAKERY,B,1,4,7187880594,3,16,4
237,ZIEGFIELD CINEMA,A,1,1,2127657601,2,3,3
238,Chao Fang Restaurant,B,3,3,7183584034,12,7,2
239,BOULTON & WATT,A,0,1,6466746004,0,3,3
240,FRANK AND JOE'S DELI,P,0,0,7188282858,0,0,0
241,ANDY'S CHINESE RESTAURANT,B,3,3,7182378899,11,13,4
242,CLUB BAR & GRILL,A,1,1,2124656000,1,1,1
243,SZECHUAN GOURMET,C,4,4,7188889388,24,24,6
244,KERRY HILLS PUB,C,2,4,7183181964,6,9,2
245,PHO VIET-NAM RESTAURANT,B,3,2,7189982858,10,6,3
248,SHANE'S CAFE,C,4,5,7183999001,14,19,3
249,MOONSTRUCK EAST,C,6,3,2122131100,21,13,4
251,BOSTON MARKET,B,2,2,7182415700,6,5,2
252,AMC THEATRES MAGIC JOHNSON HARLEM 9,B,3,3,2126656923,12,12,4
253,DELHI HEIGHTS,P,7,4,7185071111,15,22,5
254,PRESS TEA,A,0,3,2128886666,0,7,2
255,BILLIARD COMPANY,C,4,4,7185207665,17,15,3
256,TOWERS RESTAURANT,B,4,2,7182791472,10,10,5
257,GLATT KOSHER FAMILY CHINESE RESTAURANT,P,5,2,7189728085,22,7,3
258,MCDONALD'S,B,2,1,2122069991,5,2,2
259,MEZZA LUNA PIZZA,B,3,1,2128071556,9,3,3
260,VIACOM CAFETERIA,A,1,1,2122586290,2,3,3
261,GRACIE-MEWS RESTAURANT,C,5,4,2128612290,29,9,2
262,CASABLANCA GRILL,B,0,2,2123553535,0,6,3
263,BAMBOO REST,A,0,3,7182933944,0,16,5
265,MACAO  RESTUARANT AND BAR,B,2,3,2124318642,8,8,2
266,PUSHKIN CREPERIE BAKERY,B,2,3,7187830033,5,5,1
267,AU BON PAIN,A,1,1,2122466518,2,4,4
268,MOKA,P,3,2,7188493900,4,6,3
269,GATE WAY BEER GARDEN,P,6,6,7182353251,25,11,1
270,OSAKA JAPANESE FUSION,C,4,1,7187772662,21,2,2
271,FORMERLY CROW'S,B,1,5,2123610077,1,15,3
272,BROTHERS PIZZA II,B,2,2,7189488700,8,6,3
274,SOUTH BROOKLYN LOCAL,B,1,4,7186430169,3,15,3
275,NORTH SQUARE,B,1,4,2122541200,4,13,3
276,HUNAN CHEN'S KITCHEN,B,0,1,2122221118,0,3,3
277,BG BAR/MEHANATA,C,4,3,2126250981,17,11,3
278,Imperial Palace,C,2,3,7183580888,12,13,4
279,PROSPECT,C,1,5,7185966826,1,11,2
281,EL CASTILLO DE JAGUA REST,B,1,2,2129826412,3,6,3
282,TONY'S PIZZA,C,2,3,7183848669,12,5,1
283,GRAND SICHUAN,P,5,2,2129699001,15,5,2
284,WRAP N RUN GRILL,C,4,4,2127441588,12,13,3
285,THE COMMONS CHELSEA,P,4,5,2129299333,10,16,3
286,RIVERDALE CITY GRILL,B,2,4,7185435724,7,10,2
287,FRIENDS DELI,B,1,6,7183478585,3,26,4
289,SPA CASTLE/JUICE FARM,C,1,7,7189396300,3,26,3
290,KENT THEATRE,A,1,3,7183383376,3,5,1
291,HOLIDAY INN EXPRESS,A,0,1,2127479222,0,1,1
292,A & R CAFETERIA,A,4,1,3473015996,10,2,2
293,FAMOUS FAMIGLIA PIZZA,B,2,3,2125352900,4,8,2
294,TBAAR,A,0,0,6463210059,0,0,0
295,BROADWAY COMEDY CLUB,P,6,2,2127572323,19,8,4
296,NUTRICION ES VIDA,A,1,1,6465484232,1,1,1
297,UMAMI SHOPPU,A,0,0,2122299991,0,0,0
298,HEAVEN'S HOT BAGEL,C,1,4,2124207566,5,20,5
299,WHITE CASTLE,A,1,1,7184187387,3,2,2
300,maja's tapas restaurant bar,A,0,2,6464498722,0,3,1
301,PEGGY'S BURGER HOUSE,A,0,3,7183310833,0,12,4
302,MARIETTA,A,0,2,7186389500,0,4,2
303,FACES & NAMES,A,1,1,2125869311,1,3,3
304,GINGERSNAP'S ORGANIC,A,1,1,2125339939,1,3,3
305,AUNTIE ANNE'S,P,0,0,7189214444,0,0,0
306,YARD STYLE JAMAICAN CUISINE,C,3,4,7184842212,8,9,2
307,TOM & TOON,B,2,4,2122264565,8,15,3
308,DAILY BURGER ( 10TH FLOOR),A,0,2,2124654413,0,2,1
309,KRISTY'S RESTAURANT,B,4,3,7184020698,18,11,3
310,PAPA JOHN'S,A,1,1,7184637272,2,2,2
311,YI HONG RESTAURANT,C,4,3,7182416570,14,8,2
312,AMARONE RESTAURANT,B,3,2,2122456060,8,4,2
313,JOHNNY'S BAKERY,A,2,1,3475903096,8,1,1
314,HASHI,C,3,5,6468376888,8,16,3
315,NANIWA JAPANESE RESTAURANT,C,0,6,7183762898,0,20,3
316,CHINA WOK,B,2,4,2122814188,9,9,2
317,PICCOLO CAFE,C,4,4,2122601175,16,8,2
318,EUROPAN CAFE,B,8,3,2127304442,19,4,1
319,DOLCINO TRATTORIA TOSCANA,B,4,1,2124489505,16,2,2
320,AUCTION HOUSE,C,3,0,2124274458,9,0,0
321,SUN CAFE,C,5,3,2126083822,23,15,5
322,HALE & HEARTY,A,1,1,6464540052,2,2,2
323,KING ROYAL FRIED CHICKEN,A,1,4,7189650893,5,8,2
324,SHIKOKU TERIYAKI EXPRESS/PONJI JUICE BAR,B,1,4,9178380886,2,19,4
325,PAJUNIA,A,2,0,7186512879,4,0,0
326,SONY MUSIC EMPLOYEE CAFETERIA,A,1,1,2128338050,3,2,2
327,LORENAS FRUIT,A,1,2,7186061591,3,5,2
329,A.G.J. METRO DELI,A,0,1,7182050126,0,3,3
330,HARRY'S ITALIAN,A,1,2,2124253412,2,4,2
331,BAR PITTI,A,0,1,2129823300,0,2,2
332,PAPA JOHN'S,A,1,3,2124914331,3,11,3
333,PUDDIN BY CLIO,P,4,4,2124773537,11,15,3
334,SAVORE,C,3,2,2124311212,9,5,2
335,EVERETT,C,4,3,7186861212,21,18,6
336,GOLOSI,B,3,4,2127721169,9,15,3
337,NY BABURCHI INDIAN RESTAURANT,A,0,2,2125295353,0,9,4
338,EL CONTINENTAL RESTAURANT,C,7,3,7188321327,26,6,2
339,D'ANGELO PIZZA,A,0,3,7182615900,0,7,2
340,BELLA LUNA,B,4,1,7188369444,19,3,3
341,CHECKERS,A,0,0,7184135599,0,0,0
342,MAGIC SOUL FOOD,B,2,2,7185254540,6,7,3
343,MOM'S FRIED CHICKEN,C,2,5,7186815045,6,16,3
344,DUMBO KITCHEN,C,4,4,7187971695,20,10,2
345,VIEW RESTAURANT,A,1,3,2127048900,2,7,2
346,SPIRO'S CAFE & PIZZA,A,1,1,7188405780,2,3,3
348,CHARLOTTE RESTAURANT BAR & LOUNGE,C,5,4,2127684000,20,15,3
349,EAST RIVER,C,1,1,7183020511,4,2,2
350,KITTY KIERNANS,A,0,1,7189210217,0,3,3
351,KENNEDY FRIED CHICKEN & PIZZA,A,0,0,7187086223,0,0,0
352,ARTE CAFE,C,4,4,2125017014,17,13,3
353,CHUKO,B,2,3,7185766701,9,12,4
354,CASELLULA CHEESE & WINE CAFE,C,2,4,2122478137,9,13,3
355,LITTLE CAESARS,A,0,0,7184843666,0,0,0
356,COYOTE UGLY,C,2,3,2124774431,11,16,5
357,PIER 25A RESTAURANT,C,3,4,7184236395,7,14,3
358,Marani restaurant,A,0,2,7185690600,0,7,3
359,DANI PIZZA AND RESTAURANT,A,3,2,7188462849,8,5,2
360,NAKED LUNCH,B,1,2,2123430828,3,6,3
361,SUGI SUSHI,A,0,4,7188236868,0,10,2
362,MEXICOZINA,B,0,4,9179629400,0,12,3
363,RED 58,P,4,3,2122450125,11,12,4
364,PADDY MAGUIRE'S ALE HOUSE,B,1,1,2122530031,3,2,2
365,EL CAFETAL BAKERY,B,2,2,7188058204,7,4,2
366,STARBUCKS COFFEE,A,1,3,7187893418,3,7,2
367,VITO'S ROMA PIZZA,B,3,2,7185978330,8,3,1
368,'SNICE,B,2,4,2126450310,4,13,3
369,RED MANGO,A,1,1,2122531155,2,2,2
371,BAIRES BAKERY,B,1,4,7186724046,3,16,4
372,DIVISION 31 RESTAURANT,C,0,2,2122199787,0,6,3
373,JUST SALAD,A,4,4,6464309239,11,9,2
374,SOUTHWEST PORCH,A,1,3,2127800577,2,7,2
375,WENDY'S,B,3,2,7183454763,9,3,1
376,MAMMA MIA PIZZA,B,0,4,2123482809,0,10,2
377,CIBO MARKET GATE 61,A,0,2,2159970667,0,2,1
378,SHAARE ZION / RAM CATERERS,C,2,4,7183360300,9,16,4
379,"VIDA BELLA NUTRITION CLUB""""",B,3,3,9175267734,4,10,3
380,LUNG FONG  RESTAURANT,A,0,5,7182201332,0,17,3
381,HAIROS NIGHT CLUB,A,1,3,7185076158,2,9,3
382,BOX CAR LOUNGE,P,2,2,2124732830,4,7,3
383,AROMA ESPRESSO BAR,A,2,3,2123460055,4,11,3
384,POPEYES,A,1,1,3477028092,1,1,1
385,BISTRO PETIT,A,2,2,7187822582,4,3,1
386,POST NO BILLS,A,2,1,9175335720,3,1,1
387,DUNKIN' DONUTS,P,1,1,9146999500,1,2,2
388,KFC,A,0,1,7188540895,0,2,2
389,HO YIP RESTAURANT,B,4,2,2123498286,19,6,3
390,STARBUCKS COFFEE,B,2,1,7183191702,2,2,2
392,RED EYE GRILL,A,1,1,2125419000,3,1,1
393,YOGURT CITY,A,2,0,7189988200,3,0,0
394,PIE FACE,P,1,5,6464389648,3,15,3
395,CALEXICO,A,1,1,9176186310,1,1,1
396,THE QUAYS,A,1,1,7182048435,1,1,1
398,IMPERIAL PIZZERIA RESTAURANT,P,3,6,2126633222,12,21,3
399,DUNKIN' DONUTS,A,0,0,9176352896,0,0,0
400,SHOTS BILLIARDS,B,3,4,7188508818,9,11,2
401,EL MARIACHI RESTAURANT,B,4,4,7183356744,9,14,3
402,TUTTLES,A,0,2,7188875879,0,4,2
403,TASTY KING,B,4,4,2129798333,11,13,3
404,SUNSHINE GRILL & CURRY,A,2,3,7186396900,5,7,2
405,UFO CHICKEN,P,1,1,7182056662,2,2,2
406,TOMOE SHUSHI,C,4,4,2127779346,19,20,5
407,DUNKIN' DONUTS,A,4,4,7187768609,10,12,3
408,FRITAYE FIVE STAR,P,4,5,7189750916,16,23,4
409,QUEENS CONCESSION STAND,A,1,1,3476849284,1,1,1
410,TANJIA HUKKA BAR,B,2,4,7188376685,9,14,3
411,VESUVIO RESTAURANT & PIZZA,C,2,1,7187450222,11,3,3
412,PROVENCE EN BOITE,B,4,1,7187970707,12,4,4
413,LENNY'S PIZZERIA,C,4,4,7187383500,18,12,3
414,NUSARA THAI KITCHEN,P,4,2,7188987996,10,6,3
415,3-J RESTAURANT AND PIZZA,A,0,0,3473461381,0,0,0
416,UNTITLED,C,3,2,2125703670,7,5,2
418,TROPICAL SMOOCHIES,B,4,4,7187337070,9,7,1
419,STARBUCKS COFFEE,A,1,1,2129274272,4,1,1
420,ORSAY,C,1,4,2125176400,3,17,4
421,CHICKEN FESTIVAL,P,2,2,2129882844,4,7,3
422,HOU YI HOT POT RESTAURANT,B,2,3,3475863737,9,8,2
423,DUNKIN DONUTS,A,2,1,7182614257,7,1,1
425,UMI NOM,C,2,4,7187898806,4,11,2
426,EL CERRITO DEL CARMEN RESTAURANT,A,3,2,7183397907,11,8,4
427,SUBWAY,B,3,1,7185153100,5,2,2
428,STARBUCKS COFFEE,A,1,1,2122540358,2,3,3
429,XIAO WEI YABU KITCHEN,C,4,4,6466238886,8,9,2
430,BULLSEYE SPORTS PUB,A,1,1,7186279408,2,3,3
431,TAQUERIA EL BUEN GUSTO,C,1,4,7187690307,1,15,3
432,VITIS LA VINERIA,A,0,0,2127772112,0,0,0
433,BERIMBAU,B,4,2,2122422606,13,4,2
434,Vic & Anthony's Steakhouse,P,3,1,2122209200,9,12,12
435,PRET A MANGER,B,1,1,2126087501,3,3,3
436,DUNKIN DONUTS,B,1,4,2128674446,2,11,2
438,SAPID INDIAN RESTAURANT,C,4,4,7188578100,22,13,3
439,HING WONG CHINESE RESTAURANT,B,4,2,7186388889,12,3,1
441,LUCKY 11 BAKERY,C,6,4,7188338289,21,10,2
442,TROPICAL PARADISE RESTAURANT AND BAKERY,C,1,4,7186293500,3,20,5
443,TASTY CAFE,A,1,1,2125956500,1,1,1
444,STAND 312,A,1,1,7185958100,1,2,2
445,REGO BAGEL,B,3,2,7184596265,7,7,3
446,KIKU,B,4,4,7184992288,16,8,2
447,CHARLE'S CORNER RESTAURANT & DELI,A,1,2,7188759705,3,6,3
448,MACCHIATO ESPRESSO BAR,A,0,2,2125575707,0,3,1
449,LA CASITA VERDE,A,1,3,3472620824,2,7,2
450,US FRIED CHICKEN & PIZZA,P,4,0,7184849898,8,0,0
451,FATBURGER,A,0,1,2129041293,0,3,3
452,NEW FRESCO TORTILLAS TACO,P,0,6,2127129371,0,19,3
453,DUNKIN DONUTS & BASKIN ROBBINS,C,2,7,7182409011,7,18,2
454,BAY LEAF,C,4,4,7183885323,12,17,4
455,MARACAS STEAKHOUSE,B,4,2,2123045144,9,3,1
456,TASTY SWEETY,P,0,3,7188869500,0,6,2
458,DELICIA BAKERY,A,2,3,7189931157,5,5,1
459,AQUEDUCT NORTH,A,1,3,7183241497,2,10,3
460,THE COURTYARD ALE HOUSE,B,1,1,7187294601,1,2,2
461,CHASERS,P,4,3,7183262973,10,8,2
462,COLONY FRIED CHICKEN,A,3,2,7185891372,7,3,1
463,MI PEQUENO RANCHITO,A,1,1,3478804364,2,3,3
464,RED HOT II,P,5,4,7183692577,17,11,2
465,STARBUCKS COFFEE,A,1,1,2124811856,2,2,2
