,biz,grade,inspections_in_2012,inspections_in_2013,phone_num,violations_in_2012,violations_in_2013,violations_per_inspection
2646,CLOS NEW YORK,A,0,3,2122190327,0,8,2
2647,QUE RICO TACO,P,0,1,7186394202,0,4,4
2648,J's A+ Cafe,A,0,1,9178010467,0,2,2
2649,TIPSY PARSON,A,2,3,2126204515,4,14,4
2650,LA BELLLEZZA PIZZA,B,2,3,2128713223,7,10,3
2651,INAKA,B,3,4,7183988168,5,11,2
2652,TAIPAN SNACKS,B,4,4,7188863266,9,13,3
2653,JOY LUCK SEAFOOD RESTAURANT,A,1,2,7189963838,4,4,2
2654,SBARRO,A,0,2,2127078214,0,5,2
2655,RIAZOR BLUE TAPAS BAR,C,1,4,7184248464,3,11,2
2657,GLORIA'S JUICE BAR,C,1,2,2127811590,3,7,3
2658,FOOD EXCHANGE,B,4,1,2129447165,12,2,2
2659,SUPER KENNEDY FRIED CHICKEN,B,0,3,7187037133,0,10,3
2660,SICHUAN RESTAURANT,P,1,1,7182688833,2,3,3
2661,TACO KING,B,2,2,7183438886,5,5,2
2662,NYU-WEINSTEIN DINING HALL,B,1,1,2129984693,2,1,1
2663,NELLY'S CORNER PIZZERIA RESTAURANT,B,1,1,7187393444,2,2,2
2664,FIG & OLIVE,A,2,1,2122074555,5,2,2
2665,FRED'S,B,1,2,2125793076,2,8,4
2666,CARIDAD & LOUIE'S RESTAURANT,B,3,1,7188623939,10,2,2
2667,MIYAKO,B,0,3,7184860837,0,11,3
2668,CREATIVE CATERERS / ARTISTRY,A,0,2,2125108810,0,4,2
2669,NEW MEI HUA,A,4,1,7185395115,14,3,3
2670,ROSE WATER,C,4,4,7187833800,7,10,2
2671,TROY TURKISH GRILL,P,5,1,2124650888,15,3,3
2672,GOLDEN DRAGON RESTAURANT,A,1,4,7187828024,2,11,2
2673,CHIRPING CHICKEN,B,4,3,7188238700,10,8,2
2674,PATSY'S PIZZERIA,B,0,4,7182240200,0,15,3
2675,THE TREATS TRUCK STOP,A,2,3,2126915226,4,7,2
2676,NEW CENTURY CHINESE RESTAURANT,A,1,3,7186498888,3,6,2
2677,CESTRA'S PIZZA,C,3,1,7185187900,13,3,3
2678,PRET A MANGER,A,1,1,6466881061,1,2,2
2679,FIVE GUYS BURGERS & FRIES,A,0,1,2126752229,0,1,1
2680,LIZ'S PLACE-BARNARD COLLEGE,A,1,1,2128512936,3,2,2
2682,CAFE ALICE,P,5,4,2128886969,29,13,3
2683,STEAK FRITES RESTAURANT,C,2,5,2126754700,6,18,3
2684,SUBWAY,A,0,1,2127693100,0,3,3
2685,DEBASAKI,B,4,5,7188866878,15,12,2
2687,RUDY'S DELI RESTAURANT,A,6,4,7189377168,24,9,2
2688,THE TIPPLER,B,4,0,2122060000,13,0,0
2689,BLUE RIBBON SUSHI BAR & GRILL ROOF DECK,C,2,2,2122290404,2,4,2
2690,MENDY'S KOSHER DELICATESSEN,B,3,0,2122625600,7,0,0
2691,KARAOKE BOHO,A,4,2,2122550011,14,4,2
2692,ROLLIN GREENS,A,1,3,7183433313,2,8,2
2693,FRESHDAY,C,4,4,2123983848,16,16,4
2694,MUSTANG CAFE,C,4,2,2123545522,15,6,3
2695,RIVER STYX,A,0,2,7183838833,0,3,1
2697,LA CERVECERIA,C,3,4,2127776965,8,15,3
2698,SAN REMO PIZZERIA,B,0,4,7182824915,0,13,3
