biz,lat,long,has_menu
VIA DELLA PACE,40.727747000000001,-73.987825999999998,True
FRANCESCO PIZZERIA,40.775123134872501,-73.980589608459894,True
KYOCHON,40.747287,-73.985495999999998,False
Favorite Cafe,40.752507000000001,-73.992489000000006,False
GINZA SUSHI,40.592963070810598,-73.950003236532197,False
FAT BUDDHA,40.729847999999997,-73.980605999999995,True
SERAFINA,40.782459000000003,-73.980705,True
ERIN'S ISLE,40.786986659999997,-73.807532833333298,False
FATTY FISH,40.762287000000001,-73.959225000000004,True
AKI SUSHI,40.75685,-73.969247999999993,True
ENOTECA ON COURT,40.682226,-73.995942999999997,True
LITTLE ITALY PIZZA III,40.734686119999999,-73.992026999999993,False
CASIMIR,40.724843,-73.981356000000005,True
ASPEN SOCIAL CLUB,40.759089000000003,-73.983714000000006,True
CHELSEA BREWING,40.745754300000002,-74.008596199999999,True
CAFE LUNA,40.523645000000002,-74.234719999999996,True
ALFIE'S PIZZA,40.699788036152,-73.832684755325303,False
THAI PALATE,40.756805,-73.993607999999995,True
BLUE DOG KITCHEN,40.762419000000001,-73.986455000000007,False
ATRIUM DUMBO,40.703615999999997,-73.990589999999997,True
NUEVA VILLA CHINA RESTAURANT,40.76538,-73.817356000000004,False
CHEBURECHNAYA,40.727664828300497,-73.863975999999994,False
BAR 13,40.734498000000002,-73.991867999999997,False
KALALLOO RESTAURANT,40.719864000000001,-73.729433,False
M NOODLE SHOP,40.714156000000003,-73.950663000000006,True
TRAKTIR O,40.610368000000001,-73.981942000000004,True
CAFE VOLNA,40.575051309999999,-73.962876100000003,False
ASIA KAN,40.793174,-73.971249,True
D.B.A.,40.724174855631802,-73.987809409079603,False
CASA HUMO,40.721767315510299,-73.986585853953201,True
TANXIA WANG FUZHOU CUISINE,40.714809000000002,-73.993780999999998,False
TOASTIES,40.743723000000003,-73.996115000000003,False
CHATEAU CHERBULIEZ,40.740724,-73.993465,True
FOODSWINGS,40.712941295569699,-73.957384551371803,True
AL DENTE PIZZERIA,40.724184937763702,-73.850093254661999,True
CHIRPING CHICKEN,40.763956999999998,-73.958995999999999,False
VILLAGE YOKOCHO,40.729736000000003,-73.989249000000001,False
C J's BAR & LOUNGE,40.671838000000001,-73.842868999999993,False
CAFE ON THE HILL,40.596482999999999,-73.978741999999997,False
